Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W)
1,0:00:00,75,,,,,,,,
,0:00:01,79,,,,,,,,
,0:00:02,85,,,,,,,,
,0:00:03,86,,,,,,,,
,0:00:04,89,,,,,,,,
,0:00:05,88,,,,,,,,
,0:00:06,88,,,,,,,,
,0:00:07,86,,,,,,,,
,0:00:08,86,,,,,,,,
,0:00:09,86,,,,,,,,
,0:00:10,86,,,,,,,,
,0:00:11,87,,,,,,,,
,0:00:12,88,,,,,,,,
,0:00:13,90,,,,,,,,
,0:00:14,91,,,,,,,,
,0:00:15,92,,,,,,,,
,0:00:16,93,,,,,,,,
,0:00:17,95,,,,,,,,
,0:00:18,96,,,,,,,,
,0:00:19,97,,,,,,,,
,0:00:20,97,,,,,,,,
,0:00:21,99,,,,,,,,
,0:00:22,99,,,,,,,,
,0:00:23,100,,,,,,,,
,0:00:24,104,,,,,,,,
,0:00:25,104,,,,,,,,
,0:00:26,105,,,,,,,,
,0:00:27,105,,,,,,,,
,0:00:28,105,,,,,,,,
,0:00:29,105,,,,,,,,
,0:00:30,105,,,,,,,,
,0:00:31,105,,,,,,,,
,0:00:32,106,,,,,,,,
,0:00:33,106,,,,,,,,
,0:00:34,106,,,,,,,,
,0:00:35,105,,,,,,,,
,0:00:36,102,,,,,,,,
,0:00:37,99,,,,,,,,
,0:00:38,98,,,,,,,,
,0:00:39,99,,,,,,,,
,0:00:40,100,,,,,,,,
,0:00:41,100,,,,,,,,
,0:00:42,103,,,,,,,,
,0:00:43,104,,,,,,,,
,0:00:44,103,,,,,,,,
,0:00:45,101,,,,,,,,
,0:00:46,101,,,,,,,,
,0:00:47,95,,,,,,,,
,0:00:48,95,,,,,,,,
,0:00:49,96,,,,,,,,
,0:00:50,99,,,,,,,,
,0:00:51,99,,,,,,,,
,0:00:52,102,,,,,,,,
,0:00:53,103,,,,,,,,
,0:00:54,103,,,,,,,,
,0:00:55,104,,,,,,,,
,0:00:56,104,,,,,,,,
,0:00:57,105,,,,,,,,
,0:00:58,105,,,,,,,,
,0:00:59,107,,,,,,,,
,0:01:00,107,,,,,,,,
,0:01:01,107,,,,,,,,
,0:01:02,107,,,,,,,,
,0:01:03,108,,,,,,,,
,0:01:04,109,,,,,,,,
,0:01:05,109,,,,,,,,
,0:01:06,110,,,,,,,,
