Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W)
1,0:00:00,79,,,,,,,,
,0:00:01,79,,,,,,,,
,0:00:02,79,,,,,,,,
,0:00:03,79,,,,,,,,
,0:00:04,79,,,,,,,,
,0:00:05,80,,,,,,,,
,0:00:06,82,,,,,,,,
,0:00:07,85,,,,,,,,
,0:00:08,87,,,,,,,,
,0:00:09,91,,,,,,,,
,0:00:10,94,,,,,,,,
,0:00:11,97,,,,,,,,
,0:00:12,99,,,,,,,,
,0:00:13,102,,,,,,,,
,0:00:14,104,,,,,,,,
,0:00:15,106,,,,,,,,
,0:00:16,108,,,,,,,,
,0:00:17,108,,,,,,,,
,0:00:18,110,,,,,,,,
,0:00:19,110,,,,,,,,
,0:00:20,111,,,,,,,,
,0:00:21,111,,,,,,,,
,0:00:22,111,,,,,,,,
,0:00:23,111,,,,,,,,
,0:00:24,111,,,,,,,,
,0:00:25,111,,,,,,,,
,0:00:26,111,,,,,,,,
,0:00:27,112,,,,,,,,
,0:00:28,112,,,,,,,,
,0:00:29,112,,,,,,,,
,0:00:30,112,,,,,,,,
,0:00:31,112,,,,,,,,
,0:00:32,113,,,,,,,,
,0:00:33,113,,,,,,,,
,0:00:34,113,,,,,,,,
,0:00:35,113,,,,,,,,
,0:00:36,113,,,,,,,,
,0:00:37,114,,,,,,,,
,0:00:38,113,,,,,,,,
,0:00:39,113,,,,,,,,
,0:00:40,112,,,,,,,,
,0:00:41,112,,,,,,,,
,0:00:42,112,,,,,,,,
,0:00:43,113,,,,,,,,
,0:00:44,113,,,,,,,,
,0:00:45,113,,,,,,,,
,0:00:46,113,,,,,,,,
,0:00:47,113,,,,,,,,
,0:00:48,113,,,,,,,,
,0:00:49,113,,,,,,,,
,0:00:50,113,,,,,,,,
,0:00:51,113,,,,,,,,
,0:00:52,113,,,,,,,,
,0:00:53,113,,,,,,,,
,0:00:54,114,,,,,,,,
,0:00:55,114,,,,,,,,
,0:00:56,114,,,,,,,,
,0:00:57,114,,,,,,,,
,0:00:58,115,,,,,,,,
,0:00:59,115,,,,,,,,
,0:01:00,115,,,,,,,,
,0:01:01,115,,,,,,,,
,0:01:02,115,,,,,,,,
,0:01:03,116,,,,,,,,
,0:01:04,116,,,,,,,,
,0:01:05,116,,,,,,,,
,0:01:06,116,,,,,,,,
,0:01:07,117,,,,,,,,
,0:01:08,117,,,,,,,,
,0:01:09,118,,,,,,,,
,0:01:10,118,,,,,,,,
,0:01:11,119,,,,,,,,
,0:01:12,119,,,,,,,,
,0:01:13,119,,,,,,,,
,0:01:14,119,,,,,,,,
,0:01:15,119,,,,,,,,
,0:01:16,119,,,,,,,,
,0:01:17,119,,,,,,,,
,0:01:18,118,,,,,,,,
,0:01:19,118,,,,,,,,
,0:01:20,117,,,,,,,,
,0:01:21,118,,,,,,,,
,0:01:22,118,,,,,,,,
,0:01:23,119,,,,,,,,
,0:01:24,119,,,,,,,,
,0:01:25,118,,,,,,,,
,0:01:26,117,,,,,,,,
,0:01:27,116,,,,,,,,
,0:01:28,116,,,,,,,,
,0:01:29,116,,,,,,,,
,0:01:30,116,,,,,,,,
,0:01:31,115,,,,,,,,
,0:01:32,112,,,,,,,,
,0:01:33,110,,,,,,,,
,0:01:34,110,,,,,,,,
,0:01:35,111,,,,,,,,
,0:01:36,112,,,,,,,,
,0:01:37,113,,,,,,,,
,0:01:38,114,,,,,,,,
,0:01:39,113,,,,,,,,
,0:01:40,111,,,,,,,,
,0:01:41,110,,,,,,,,
,0:01:42,109,,,,,,,,
,0:01:43,109,,,,,,,,
,0:01:44,111,,,,,,,,
,0:01:45,114,,,,,,,,
,0:01:46,115,,,,,,,,
,0:01:47,116,,,,,,,,
,0:01:48,115,,,,,,,,
,0:01:49,114,,,,,,,,
,0:01:50,114,,,,,,,,
,0:01:51,114,,,,,,,,
,0:01:52,115,,,,,,,,
,0:01:53,118,,,,,,,,
,0:01:54,119,,,,,,,,
,0:01:55,118,,,,,,,,
