Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W)
1,0:00:00,73,,,,,,,,
,0:00:01,73,,,,,,,,
,0:00:02,73,,,,,,,,
,0:00:03,72,,,,,,,,
,0:00:04,72,,,,,,,,
,0:00:05,71,,,,,,,,
,0:00:06,72,,,,,,,,
,0:00:07,72,,,,,,,,
,0:00:08,74,,,,,,,,
,0:00:09,75,,,,,,,,
,0:00:10,78,,,,,,,,
,0:00:11,79,,,,,,,,
,0:00:12,81,,,,,,,,
,0:00:13,81,,,,,,,,
,0:00:14,82,,,,,,,,
,0:00:15,83,,,,,,,,
,0:00:16,86,,,,,,,,
,0:00:17,89,,,,,,,,
,0:00:18,92,,,,,,,,
,0:00:19,94,,,,,,,,
,0:00:20,97,,,,,,,,
,0:00:21,99,,,,,,,,
,0:00:22,101,,,,,,,,
,0:00:23,102,,,,,,,,
,0:00:24,102,,,,,,,,
,0:00:25,103,,,,,,,,
,0:00:26,104,,,,,,,,
,0:00:27,104,,,,,,,,
,0:00:28,105,,,,,,,,
,0:00:29,106,,,,,,,,
,0:00:30,106,,,,,,,,
,0:00:31,106,,,,,,,,
,0:00:32,105,,,,,,,,
,0:00:33,106,,,,,,,,
,0:00:34,108,,,,,,,,
,0:00:35,109,,,,,,,,
,0:00:36,111,,,,,,,,
,0:00:37,111,,,,,,,,
,0:00:38,110,,,,,,,,
,0:00:39,109,,,,,,,,
,0:00:40,107,,,,,,,,
,0:00:41,106,,,,,,,,
,0:00:42,105,,,,,,,,
,0:00:43,105,,,,,,,,
,0:00:44,106,,,,,,,,
,0:00:45,107,,,,,,,,
,0:00:46,108,,,,,,,,
,0:00:47,108,,,,,,,,
,0:00:48,108,,,,,,,,
,0:00:49,107,,,,,,,,
,0:00:50,107,,,,,,,,
,0:00:51,107,,,,,,,,
,0:00:52,107,,,,,,,,
,0:00:53,107,,,,,,,,
,0:00:54,107,,,,,,,,
,0:00:55,108,,,,,,,,
,0:00:56,108,,,,,,,,
,0:00:57,109,,,,,,,,
,0:00:58,109,,,,,,,,
,0:00:59,110,,,,,,,,
,0:01:00,111,,,,,,,,
,0:01:01,113,,,,,,,,
,0:01:02,114,,,,,,,,
,0:01:03,114,,,,,,,,
,0:01:04,113,,,,,,,,
,0:01:05,112,,,,,,,,
,0:01:06,109,,,,,,,,
,0:01:07,108,,,,,,,,
,0:01:08,107,,,,,,,,
,0:01:09,107,,,,,,,,
,0:01:10,107,,,,,,,,
,0:01:11,108,,,,,,,,
