Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W)
,0:03:04,129,,,,,,,,
,0:03:05,129,,,,,,,,
,0:03:06,129,,,,,,,,
,0:03:07,129,,,,,,,,
,0:03:08,130,,,,,,,,
,0:03:09,131,,,,,,,,
,0:03:10,132,,,,,,,,
,0:03:11,133,,,,,,,,
,0:03:12,133,,,,,,,,
,0:03:13,133,,,,,,,,
,0:03:14,132,,,,,,,,
,0:03:15,131,,,,,,,,
,0:03:16,130,,,,,,,,
,0:03:17,130,,,,,,,,
,0:03:18,132,,,,,,,,
,0:03:19,133,,,,,,,,
,0:03:20,135,,,,,,,,
,0:03:21,136,,,,,,,,
,0:03:22,130,,,,,,,,
,0:03:23,130,,,,,,,,
,0:03:24,127,,,,,,,,
,0:03:25,122,,,,,,,,
,0:03:26,119,,,,,,,,
,0:03:27,117,,,,,,,,
,0:03:28,118,,,,,,,,
,0:03:29,121,,,,,,,,
,0:03:30,123,,,,,,,,
,0:03:31,124,,,,,,,,
,0:03:32,126,,,,,,,,
,0:03:33,126,,,,,,,,
,0:03:34,123,,,,,,,,
,0:03:35,123,,,,,,,,
,0:03:36,123,,,,,,,,
,0:03:37,123,,,,,,,,
,0:03:38,123,,,,,,,,
,0:03:39,124,,,,,,,,
,0:03:40,125,,,,,,,,
,0:03:41,125,,,,,,,,
,0:03:42,126,,,,,,,,
,0:03:43,126,,,,,,,,
,0:03:44,126,,,,,,,,
,0:03:45,126,,,,,,,,
,0:03:46,126,,,,,,,,
,0:03:47,126,,,,,,,,
,0:03:48,128,,,,,,,,
,0:03:49,129,,,,,,,,
,0:03:50,129,,,,,,,,
,0:03:51,131,,,,,,,,
,0:03:52,131,,,,,,,,
,0:03:53,131,,,,,,,,
,0:03:54,131,,,,,,,,
,0:03:55,131,,,,,,,,
,0:03:56,131,,,,,,,,
,0:03:57,130,,,,,,,,
,0:03:58,130,,,,,,,,
,0:03:59,130,,,,,,,,
,0:04:00,131,,,,,,,,
,0:04:01,132,,,,,,,,
,0:04:02,132,,,,,,,,
,0:04:03,134,,,,,,,,
,0:04:04,134,,,,,,,,
,0:04:05,134,,,,,,,,
,0:04:06,135,,,,,,,,
,0:04:07,134,,,,,,,,
,0:04:08,134,,,,,,,,
,0:04:09,134,,,,,,,,
,0:04:10,132,,,,,,,,
,0:04:11,132,,,,,,,,
,0:04:12,132,,,,,,,,
,0:04:13,132,,,,,,,,
,0:04:14,131,,,,,,,,
,0:04:15,131,,,,,,,,
,0:04:16,131,,,,,,,,
,0:04:17,131,,,,,,,,
,0:04:18,131,,,,,,,,
,0:04:19,131,,,,,,,,
,0:04:20,131,,,,,,,,
,0:04:21,131,,,,,,,,
,0:04:22,130,,,,,,,,
,0:04:23,130,,,,,,,,
,0:04:24,130,,,,,,,,
,0:04:25,130,,,,,,,,
,0:04:26,132,,,,,,,,
,0:04:27,133,,,,,,,,
,0:04:28,133,,,,,,,,
,0:04:29,132,,,,,,,,
,0:04:30,121,,,,,,,,
,0:04:31,117,,,,,,,,
,0:04:32,116,,,,,,,,
,0:04:33,118,,,,,,,,
,0:04:34,121,,,,,,,,
,0:04:35,121,,,,,,,,
,0:04:36,123,,,,,,,,
,0:04:37,126,,,,,,,,
,0:04:38,127,,,,,,,,
,0:04:39,128,,,,,,,,
,0:04:40,128,,,,,,,,
,0:04:41,128,,,,,,,,
,0:04:42,128,,,,,,,,
,0:04:43,129,,,,,,,,
,0:04:44,129,,,,,,,,
,0:04:45,129,,,,,,,,
,0:04:46,129,,,,,,,,
,0:04:47,129,,,,,,,,
,0:04:48,130,,,,,,,,
,0:04:49,130,,,,,,,,
,0:04:50,130,,,,,,,,
,0:04:51,130,,,,,,,,
,0:04:52,129,,,,,,,,
,0:04:53,129,,,,,,,,
,0:04:54,127,,,,,,,,
,0:04:55,127,,,,,,,,
,0:04:56,127,,,,,,,,
,0:04:57,128,,,,,,,,
,0:04:58,129,,,,,,,,
,0:04:59,129,,,,,,,,
,0:05:00,129,,,,,,,,
,0:05:01,130,,,,,,,,
,0:05:02,130,,,,,,,,
,0:05:03,131,,,,,,,,
,0:05:04,130,,,,,,,,
,0:05:05,130,,,,,,,,
,0:05:06,130,,,,,,,,
,0:05:07,130,,,,,,,,
,0:05:08,131,,,,,,,,
,0:05:09,131,,,,,,,,
,0:05:10,133,,,,,,,,
,0:05:11,133,,,,,,,,
,0:05:12,134,,,,,,,,
,0:05:13,135,,,,,,,,
,0:05:14,135,,,,,,,,
,0:05:15,134,,,,,,,,
,0:05:16,126,,,,,,,,
,0:05:17,123,,,,,,,,
,0:05:18,122,,,,,,,,
,0:05:19,121,,,,,,,,
,0:05:20,121,,,,,,,,
,0:05:21,121,,,,,,,,
,0:05:22,125,,,,,,,,
,0:05:23,125,,,,,,,,
,0:05:24,128,,,,,,,,
,0:05:25,130,,,,,,,,
,0:05:26,131,,,,,,,,
,0:05:27,130,,,,,,,,
,0:05:28,130,,,,,,,,
,0:05:29,127,,,,,,,,
,0:05:30,126,,,,,,,,
,0:05:31,126,,,,,,,,
,0:05:32,127,,,,,,,,
,0:05:33,127,,,,,,,,
,0:05:34,128,,,,,,,,
,0:05:35,128,,,,,,,,
,0:05:36,130,,,,,,,,
,0:05:37,131,,,,,,,,
,0:05:38,132,,,,,,,,
,0:05:39,132,,,,,,,,
,0:05:40,131,,,,,,,,
,0:05:41,131,,,,,,,,
,0:05:42,131,,,,,,,,
,0:05:43,131,,,,,,,,
,0:05:44,132,,,,,,,,
,0:05:45,133,,,,,,,,
,0:05:46,133,,,,,,,,
,0:05:47,133,,,,,,,,
,0:05:48,133,,,,,,,,
,0:05:49,132,,,,,,,,
,0:05:50,131,,,,,,,,
,0:05:51,130,,,,,,,,
,0:05:52,130,,,,,,,,
,0:05:53,131,,,,,,,,
,0:05:54,132,,,,,,,,
,0:05:55,133,,,,,,,,
,0:05:56,133,,,,,,,,
,0:05:57,133,,,,,,,,
,0:05:58,132,,,,,,,,
,0:05:59,132,,,,,,,,
,0:06:00,132,,,,,,,,
,0:06:01,131,,,,,,,,
,0:06:02,131,,,,,,,,
,0:06:03,131,,,,,,,,
,0:06:04,131,,,,,,,,
,0:06:05,132,,,,,,,,
,0:06:06,132,,,,,,,,
,0:06:07,132,,,,,,,,
,0:06:08,132,,,,,,,,
,0:06:09,132,,,,,,,,
,0:06:10,130,,,,,,,,
,0:06:11,129,,,,,,,,
,0:06:12,129,,,,,,,,
,0:06:13,129,,,,,,,,
,0:06:14,128,,,,,,,,
,0:06:15,129,,,,,,,,
,0:06:16,129,,,,,,,,
,0:06:17,130,,,,,,,,
,0:06:18,130,,,,,,,,
,0:06:19,131,,,,,,,,
,0:06:20,131,,,,,,,,
,0:06:21,131,,,,,,,,
,0:06:22,133,,,,,,,,
,0:06:23,133,,,,,,,,
,0:06:24,133,,,,,,,,
,0:06:25,132,,,,,,,,
,0:06:26,132,,,,,,,,
